name,images,description,number,category,id,sub_categories,product_item_1_number,product_item_1_price,product_item_1_description,product_item_1_dimensions,product_item_2_number,product_item_2_price,product_item_2_description,product_item_2_dimensions,product_item_3_number,product_item_3_price,product_item_3_description,product_item_3_dimensions,product_item_4_number,product_item_4_price,product_item_4_description,product_item_4_dimensions,product_item_5_number,product_item_5_price,product_item_5_description,product_item_5_dimensions,product_item_6_number,product_item_6_price,product_item_6_description,product_item_6_dimensions,product_item_7_number,product_item_7_price,product_item_7_description,product_item_7_dimensions,product_item_8_number,product_item_8_price,product_item_8_description,product_item_8_dimensions,product_item_9_number,product_item_9_price,product_item_9_description,product_item_9_dimensions,product_item_10_number,product_item_10_price,product_item_10_description,product_item_10_dimensions,product_item_11_number,product_item_11_price,product_item_11_description,product_item_11_dimensions
Cullen Collection,"https://homelegance.com/u/20171106/1855_61_l1.jpg, https://homelegance.com/u/HMLG/20180612/52dcd55b2f85442f81f18b19200065f0.jpg",Clean lines and unfettered design lend to the versatile contemporary styling of the Cullen Collection. The bed features chocolate brown vinyl padded inserts with a single accenting button. Each case piece in the collection is punctuated with silver fnished knob hardware. The tobacco brown fnish further makes this modern group a versatile choice for placement in a number of bedroom looks.,1855-1*,bedroom,,"Bedroom Sets, Beds/Headboards",1855K-1CK*,185,California King Sleigh Bed,HB: 50H FB: 13.75H,1855K-1EK*,185,Eastern King Sleigh Bed,HB: 50H FB: 13.75H,1855-1*,125,Queen Sleigh Bed,HB: 50H FB: 13.75H,1855-4,60,"Night Stand, Glass",21.75 x 17 x 24H,1855-5,152,Dresser,55.25 x 17 x 37.75H,1855-6,33,Mirror,39.25 x 0.75 x 38H,1855-9,125,Chest,30 x 17 x 47.75H,,,,,,,,,,,,,,,,
Marceline Collection,"https://homelegance.com/u/20171106/1866_24_l1.jpg, https://homelegance.com/u/20171106/1866-9_960_l1.jpg, https://homelegance.com/u/20171106/1866-11_1584_l1.jpg","Your bedroom reflects your personal style – Allured by trend forward design, the Marceline Collection satisfied your desired look. The striking gray rub-through or the newly offered gray water-based finishes of the collection feature hand distressing for a subtle weathered look. Geometric molding provides a distinct contrast to the traditionally framed case goods. Substantially sized turned legs enhance the look of the oversized case pieces and mansion headboard.",1866-1*,bedroom,,"Bedroom Sets, Beds/Headboards",1866K-1CK*,499,California King Bed,HB: 64.25H FB: 33.75H,1866K-1EK*,499,Eastern King Bed,HB: 64.25H FB: 33.75H,1866-1*,399,Queen Bed,HB: 64.25H FB: 33.75H,1866-4,175,Night Stand,29 x 17 x 29.25H,1866-5,469,Dresser,74.25 x 18.25 x 41.5H,1866-6,127,Mirror,58.25 x 3 x 39H,1866-9,359,Chest,41.5 x 18.25 x 60.75H,1866-11,299,TV Chest,41.5 x 18.25 x 41.25H,,,,,,,,,,,,
Marceline Collection,"https://homelegance.com/u/20171106/1866GY_25_l1.jpg, https://homelegance.com/u/20181111/86782489e35247c7aa18c768e32172a8.jpg","Your bedroom reflects your personal style – Allured by trend forward design, the Marceline Collection satisfied your desired look. The striking gray rub-through or the newly offered gray water-based finishes of the collection feature hand distressing for a subtle weathered look. Geometric molding provides a distinct contrast to the traditionally framed case goods. Substantially sized turned legs enhance the look of the oversized case pieces and mansion headboard.",1866GY-1*,bedroom,,"Bedroom Sets, Beds/Headboards",1866KGY-1CK*,499,California King Bed,HB: 64.25H FB: 33.75H,1866KGY-1EK*,499,Eastern King Bed,HB: 64.25H FB: 33.75H,1866GY-1*,399,Queen Bed,HB: 64.25H FB: 33.75H,1866GY-4,185,Night Stand,29 x 17 x 29.25H,1866GY-5,488,Dresser,74.25 x 18.25 x 41.5H,1866GY-6,127,Mirror,58.25 x 3 x 39H,1866GY-9,370,Chest,41.5 x 18.25 x 60.75H,,,,,,,,,,,,,,,,
Bryndle Collection,https://homelegance.com/u/20171106/1882N-1_125_l1.jpg,"The modern traditional styling of the Bryndle Collection is characterized by the button-tufted headboard and footboard, as well as the nail head accenting on headboard. Further complimenting the design is the dark gray fabric that covers.",1882N-1*,bedroom,,Beds/Headboards,1882KN-1CK*,229,California King Bed,HB: 52H FB: 14H,1882KN-1EK*,229,Eastern King Bed,HB: 52H FB: 14H,1882N-1*,179,Queen Bed,HB: 52H FB: 14H,1882FN-1*,179,Full Bed,HB: 52H FB: 14H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wade Collection,"https://homelegance.com/u/20171106/1883N-1_129_l1.jpg, https://homelegance.com/u/HMLG/20180612/1f8fd87943ca49339749b39c5277d904.jpg","Drawing inspiration from traditional Danish modern design, the neutral gray tone of the Wade Collection lends to the contemporary feel. The low-profile bed features a button-tufted shelter headboard.",1883N-1*,bedroom,,Beds/Headboards,1883KN-1CK*,259,California King Wing Bed,HB: 48.5H FB: 14H,1883KN-1EK*,259,Eastern King Wing Bed,HB: 48.5H FB: 14H,1883N-1*,209,Queen Wing Bed,HB: 48.5H FB: 14H,1883FN-1*,209,Full Wing Bed,HB: 48.5H FB: 14H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaira Collection,"https://homelegance.com/u/20171106/1885N_132_l1.jpg, https://homelegance.com/u/20171106/1885N-1_1030_l1.jpg",The Zaira Collection offers modern traditional design showcasing beautiful nail head accenting headboard which elegantly contrasts its dark gray fabric.,1885N-1*,bedroom,,Beds/Headboards,1885KN-1CK*,209,California King Bed,HB: 52H FB: 14H,1885KN-1EK*,209,Eastern King Bed,HB: 52H FB: 14H,1885N-1*,159,Queen Bed,HB: 52H FB: 14H,1885FN-1*,159,Full Bed,HB: 52H FB: 14H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terron Collection,https://homelegance.com/u/20171106/1909RF-1_84_l1.jpg,"Redefining, soft contemporary design is achieved by blending classic elements to create the look of the Terron Collection. The bow-fronted case goods and sleigh bed feature book-matched mindy veneer that is beautifully highlighted by a medium oak finish. Off-set drawers on the dresser and the floating top design of each case pieces provides unique design character that makes this collection a perfect fit for your home.",1909RF-1*,bedroom,,"Bedroom Sets, Beds/Headboards",1909RFK-1CK*,279,California King Sleigh Bed,HB: 58H FB: 26H,1909RFK-1EK*,279,Eastern King Sleigh Bed,HB: 58H FB: 26H,1909RF-1*,219,Queen Sleigh Bed,HB: 58H FB: 26H,1909RF-4,119,Night Stand,27 x 17 x 28H,1909RF-5,329,Dresser,64 x 18.5 x 42H,1909RF-6,63,Mirror,46 x 1.5 x 37H,1909RF-9,269,Chest,39 x 18.5 x 55H,,,,,,,,,,,,,,,,
Allura Collection,"https://homelegance.com/u/HMLG/20190222/2ab74afab0df47f6a35bb00e61535cbb.jpg, https://homelegance.com/u/HMLG/20190222/1a1be5183fa34e3a9be7ee7005e2623a.jpg, https://homelegance.com/u/HMLG/20190222/35c900df22c545ceb7bbf49400ad11f9.jpg, https://homelegance.com/u/HMLG/20190222/c4909b60a3f74652a8fe4ad1a18142b1.jpg, https://homelegance.com/u/HMLG/20190222/7815c156618e49a59e0f911a901272f6.jpg, https://homelegance.com/u/HMLG/20190222/12e333415338485d99e4de3933c118bb.jpg","Glamour reigns in the design of the Allura Collection. Framing each piece is a decorative beveled mirror accent
that enhances the illumination from the touch-engaged LED back-light of the headboard and mirror, as well as the
under-light of the night stand. Alligator embossing and high polished crystal-enhanced hardware boldly accent
the black finish as does the pearl-black bi-cast vinyl crystal-tufted headboard insert of the collection. The Allura
Collection is also offered in Silver, Gray, and white.",1916W-1*,bedroom,,"Bedroom Sets, Beds/Headboards",1916KW-1CK*,389,"California King Bed, LED Lighting",HB: 59.75H FB: 26.25H,1916KW-1EK*,389,"Eastern King Bed, LED Lighting",HB: 59.75H FB: 26.25H,1916W-1*,299,"Queen Bed, LED Lighting",HB: 59.75H FB: 26.25H,1916FW-1*,299,"Full Bed, LED Lighting",HB: 59.75H FB: 26.25H,1916W-4,139,"Night Stand, LED Lighting",28 x 17 x 28.25H,1916W-5,299,Dresser,63.75 x 17 x 39H,1916W-6,113,"Mirror, LED Lighting",47.25 x 1.5 x 38H,1916W-9,249,Chest,38 x 17 x 51H,1916W-15*,365,Vanity Dresser with Mirror,60 x 16.75 x 66.5H,1916W-14,34,Vanity Stool,16 X 16 X 19H,1916W-FBH,75,Bench,54 X 18 X 19H
Celandine Collection,"https://homelegance.com/u/20171106/1928_33_l1.jpg, https://homelegance.com/u/20180202/1928-15_1928-14_9238_l1.jpg, https://homelegance.com/u/20180202/1928-14_1928-15_noBG_side_9239_l1.jpg, https://homelegance.com/u/20180202/1928-14_1928-15_noBG_front_9240_l1.jpg, https://homelegance.com/u/HMLG/20181111/9b35559a330a4577a10952179303a18f.jpg","The look of traditional design is updated for the modern traditional home in the Celandine Collection. Crystal tufting immediately draws the eyes to the pearlized finish of the bi-cast vinyl headboard insert, while high polished knob hardware stands out from the silver finish of the collection. With each of the aforementioned elements, subtle glamour will be achieved in the design of your elegant bedroom.",1928-1*,bedroom,,"Bedroom Sets, Beds/Headboards",1928K-1CK*,299,California King bed,HB: 63H FB: 21H,1928K-1EK*,299,Eastern King Bed,HB: 63H FB: 21H,1928-1*,199,Queen Bed,HB: 63H FB: 21H,1928F-1*,199,Full Bed,HB: 63H FB: 21H,1928-4,109,Night Stand,27.25 x 17 x 28.5H,1928-5,249,Dresser,62.25 x 17 x 36.5H,1928-6,62,Mirror,45.75 x 2.5 x 41H,1928-9,209,Chest,40 x 17 x 52.5H,1928-15*,309,Vanity Dresser with Mirror,64.75 x 15.75 x 70.75H,1928-14,33,Vanity Stool,16.75 x 16.75 x 20H,,,,
Celandine Collection,"https://homelegance.com/u/HMLG/20180831/ab5f39adb382480187a57628ce1cb11b.jpg, https://homelegance.com/u/20181025/e7689133d3db48dca31b781919a860a1.jpg, https://homelegance.com/u/HMLG/20180831/47926e7f806f48f6888b1afb4ae8c792.jpg","The look of traditional design is updated for the modern traditional home in the Celandine Collection. The table leg of the collection stands proudly as the main platform of your formal dining room. Crystal tufting immediately draws the eyes to the subtle pearlized finish of the bi-cast vinyl chair backs, while high polished knob hardware stands out from the silver finish of the server. Inset glass highlights the shagreen embossing accent of the table’s top and server top. The server features shagreen drawer fronts, built-in wine rack, drawer and behind door storage. With each of the aforementioned elements, subtle glamour will be achieved in the design of your elegant dining room.",1928-78NG,dining,,Dining Sets,1928-78NG,249,"Dining Table, Glass Insert",38 x 60 - 78 x 30H,1928A,60,Arm Chair,24 x 24 x 39H,1928S,55,Side Chair,18.5 x 24 x 39H,1928-40NG,379,"Server, Glass Insert",58 x 18 x 34.75H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branton Collection,"https://homelegance.com/u/20171106/1968-1_hp_72_l1.jpg, https://homelegance.com/u/20171106/1968_990_l1.jpg",The rustic modern look of the Branton Collection is a unique choice for your bedroom. An antique brown finish highlights the pine veneer while the black base rails that support the collection provide subtle contrast for a rustic industrial look. Unfettered framing allows for the veneer pattern to provide decorative accent. Horizontal hardware accents each case piece.,1968-1*,bedroom,,"Bedroom Sets, Beds/Headboards",1968K-1CK*,189,California King,HB: 56H FB: 22H,1968K-1EK*,189,Eastern King,HB: 56H FB: 22H,1968-1*,139,Queen Bed,HB: 56H FB: 22H,1968F-1*,139,Full Bed,HB: 56H FB: 22H,1968-4,69,Night Stand,23.5 x 16.25 x 26.75H,1968-5,159,Dresser,59 x 16.25 x 37H,1968-6,32,Mirror,40 x 1.25 x 38.75H,1968-9,139,Chest,33 x 16.25 x 50.25H,,,,,,,,,,,,
Wrangell Collection,"https://homelegance.com/u/HMLG/20180918/2c51e9696acb4006962d5563e20e7dc3.jpg, https://homelegance.com/u/HMLG/20180918/aa16cbc898bf403aa5f6c0fdf278e768.jpg, https://homelegance.com/u/HMLG/20180918/ecef9d19075e4c31b355733c402ab7b7.jpg, https://homelegance.com/u/HMLG/20180918/d57eee3325b0487c87fe6ba629126914.jpg, https://homelegance.com/u/HMLG/20180918/bdf9055a064548f8bf12c5ac4eadac5e.jpg, https://homelegance.com/u/HMLG/20180918/2ea482ec93b844a1b61ef3b0b17338f4.jpg, https://homelegance.com/u/HMLG/20180918/5189a2d5226e48c59d4f3b553ac2546c.jpg, https://homelegance.com/u/HMLG/20180918/ff4531b424ee4685907ac26cce242d22.jpg, https://homelegance.com/u/HMLG/20180918/8b2325d8b83646d980796d1ec47525ed.jpg, https://homelegance.com/u/HMLG/20180918/56448d43f7104864b0ad1e4da85d0165.jpg, https://homelegance.com/u/HMLG/20180918/15d6454490a241fb9b5c29cbba235830.jpg, https://homelegance.com/u/HMLG/20180918/b968041fe7e342eeb3d19a8149ca5120.jpg, https://homelegance.com/u/HMLG/20180918/f056467521a84b228efe5b159089d0da.jpg, https://homelegance.com/u/HMLG/20180918/d9ba41f155fd41febc4e9c4bf206f2c9.jpg, https://homelegance.com/u/HMLG/20180918/dcac65a4bfaf4acaad3f19556c67fe58.jpg, https://homelegance.com/u/HMLG/20180918/7a4fcbc87f01455093d5320017c67c50.jpg, https://homelegance.com/u/HMLG/20180918/722c5aa5a60e46dab5f7c2e3a473ca52.jpg, https://homelegance.com/u/HMLG/20181023/2d5ff6d575dc40b8a1c70294264c545a.jpg","Crafted in the transitional style, the Wrangell Collection is the perfect addition to your home. The open-shelf footboard creates instant eye appeal and functional display storage space. The substantial framing, metal cup hardware mounted on each framed drawer front, and the medium cherry finish – over acacia solids and veneers – all combine to create the welcoming transitional aesthetic.",2055-1*,bedroom,,"Bedroom Sets, Beds/Headboards",2055-1*,229,Queen Platform Bed,HB: 50H  FB: 18H,2055F-1*,229,Full Platform Bed,HB: 50H  FB: 18H,2055T-1*,179,Twin Platform Bed,HB: 50H  FB: 18H,2055-4,99,Night Stand,22 x 16 x 28.75H,2055-5,209,Dresser,55 x 17 x 36.25H,2055-6,42,Mirror,36 x 1.75 x 38H,2055-9,199,Chest,35 x 17 x 48.5H,,,,,,,,,,,,,,,,
Edina Collection,"https://homelegance.com/u/HMLG/20181022/564d4f6e6493485494303b7b01cdb7b9.jpg, https://homelegance.com/u/HMLG/20181022/b5ec28fe452e47728ac657b2dbac64f8.jpg, https://homelegance.com/u/HMLG/20181022/4bbb807b237241eda2fe10e98a7c36c8.jpg, https://homelegance.com/u/HMLG/20181023/3f3a617e86c548b98d4f3ebe3a79d8cc.jpg, https://homelegance.com/u/HMLG/20181023/c1f07f3b00b44a1296f34cc422e6c0c0.jpg, https://homelegance.com/u/HMLG/20181022/94cbfb133cad4c20bcbf5bd89f34223d.jpg, https://homelegance.com/u/HMLG/20181022/f88bfd7bf4244e9cace2994cffe9f8d2.jpg, https://homelegance.com/u/HMLG/20181022/62aadfb4926844fabb08d1855cf7421b.jpg, https://homelegance.com/u/HMLG/20181022/62c5276643ac4e40b0fb23d871e266e8.jpg, https://homelegance.com/u/HMLG/20181022/762446672dc04bffb1494c212cd7c510.jpg, https://homelegance.com/u/HMLG/20181022/a8956b2945464093b619853d2927a715.jpg, https://homelegance.com/u/HMLG/20181022/b73a9d809aaa484da558ed4c6f7029f8.jpg, https://homelegance.com/u/HMLG/20181022/fe31a58b6df34479a129ed2b7a12e7a8.jpg, https://homelegance.com/u/HMLG/20181022/a54e138b48f54629bbe2c0162579d917.jpg, https://homelegance.com/u/HMLG/20181022/a3ab2db215964bdaa95ef5d8d86e04b9.jpg, https://homelegance.com/u/HMLG/20181022/9cd743ffc16e48e39a48340189670374.jpg, https://homelegance.com/u/HMLG/20181111/9b32c94e167b4c2d842ef430707f9729.jpg","Enhancing the contemporary design of your bedroom is the focus of the Edina Collection. The two available finishes - espresso-hinted cherry and brown-grey - build on the unexaggerated lines of this bedroom suite, blended with the tufted vinyl inserts on the headboard and the polished nickel finish hardware culminates to achieve the modern look. Whether it is a hard contemporary or a softer transitional feel, your decor design options are wide open with this adult, as well as youth, bedroom collection.",2145NP-1*,bedroom,,"Bedroom Sets, Beds/Headboards",2145KNP-1CK*,169,California King Bed,HB: 51.75H FB: 14H,2145KNP-1EK*,169,Eastern King Bed,HB: 51.75H FB: 14H,2145NP-1*,119,Queen Bed,HB: 51.75H FB: 14H,2145FNP-1*,119,Full Bed,HB: 51.75H FB: 14H,2145TNP-1*,99,Twin Bed,HB: 51.75H FB: 14H,2145NP-4,59,Night Stand,23.5 x 16.25 x 24.25H,2145NP-5,145,Dresser,58 x 16.5 x 36.75H,2145NP-6,37,Mirror,37.5 x 1 x 37.5H,2145NP-9,125,Chest,35.5 x 16.5 x 48.75H,,,,,,,,
Orleans Collection,"https://homelegance.com/u/20171106/2168-1_10_l1.jpg, https://homelegance.com/u/20171106/2168-11_952_l1.jpg","The grandeur of Old World Europe is ﬂawlessly executed in the Orleans Collection. Acanthus leaf carvings feature prominently and blend with elegantly appointed moldings on each piece of this stately bedroom. Wreath accents lend dramatic ﬂair to the bed and mirror as does the sculpted
lion’s foot base, supporting each of the case pieces. Heavy pilasters rise and topped with carved fnials on the tufted dark brown bonded leather headboard and footboard. A rich cherry fnish on cherry veneer with gold tipping completes the formal feel of the Orleans Collection.",2168-1*,bedroom,,"Bedroom Sets, Beds/Headboards",2168K-1CK*,719,California King Bed,HB: 71.75H FB: 45.5H,2168K-1EK*,719,Eastern King Bed,HB: 71.75H FB: 45.5H,2168-1*,619,Queen Bed,HB: 71.75H FB: 45.5H,2168-4,230,Night Stand,32 x 18 x 30H,2168-5,549,Dresser,67.75 x 19 x 39.75H,2168-6,137,Mirror,47.25 x 3 x 42H,2168-9,434,Chest,42 x 19 x 55H,2168-11,360,TV Chest,42 x 19 x 39.75H,,,,,,,,,,,,
Tempe Collection,"https://homelegance.com/u/HMLG/20181022/b1202fc136ab4629af6c0974e44c32a2.jpg, https://homelegance.com/u/HMLG/20181022/6a66f077db49422993630a2eb423d1b6.jpg, https://homelegance.com/u/HMLG/20181022/5a94a72c1bf44aa7891332bd532c37e3.jpg, https://homelegance.com/u/HMLG/20181022/d11f4ad4976b456a94da76a5340ffdf5.jpg, https://homelegance.com/u/HMLG/20181022/1454c627c9ff4d01958da49008f5a84c.jpg, https://homelegance.com/u/HMLG/20181022/c6a164c95e8a41d3b51864e5f368d793.jpg","With a scale appropriate for any number of smaller dining spaces, the Tempe Collection will provide the look and style you want in your home.  The transitional feel of the group comes from the richly hued faux marble table top that is supported by the black metal base and the minimalistic design of the accompanying dark brown bi-cast vinyl side chairs.",2601BK-48,dining,,Dining Sets,2601BK-48,49,"Dining Table, Faux Marble Top",30 X 48 X 30H,2601BK-S1,19,Side Chair,17.5 X 21.5 X 36H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbary Collection,"https://homelegance.com/u/HMLG/20190128/abafd8cee9be4077800b41f232e10451.jpg, https://homelegance.com/u/HMLG/20190128/7f70129ba93640a694d20a53d39d53e5.jpg, https://homelegance.com/u/HMLG/20190128/e02bd087434d400a89d330bb12ccb4a0.jpg, https://homelegance.com/u/HMLG/20190128/0f5467213929481f977155b48e878349.jpg, https://homelegance.com/u/HMLG/20190128/b41e3465e6f340d3a873a12344dd296c.jpg, https://homelegance.com/u/HMLG/20190128/6e088571dcd8446c8863506ed2296cba.jpg, https://homelegance.com/u/HMLG/20190128/67a63e5ca94b44b6adc5ae7d8073e2f6.jpg, https://homelegance.com/u/HMLG/20190128/ef167bf4f125405c9dd5c5bbc33a848b.jpg, https://homelegance.com/u/HMLG/20190128/9fc8b6035f424d5fa53407d9792521e7.jpg, https://homelegance.com/u/HMLG/20190128/7f5d8e8b630b4c47b557cf11b42ef186.jpg, https://homelegance.com/u/HMLG/20190128/e725b71a5d8d41eb834d458fe44faf75.jpg, https://homelegance.com/u/HMLG/20190128/679a23085f48495687436ca720e63669.jpg, https://homelegance.com/u/HMLG/20190128/18a74f03d1004990b87c57d52e102723.jpg, https://homelegance.com/u/HMLG/20190128/206cb3878b4840d8b91cfa70f1ad264f.jpg","The profile and accenting of the Barbary Collection reflects your taste for traditional style. Elegant appointments such as medallion accent, quadrant book-match veneer and traditional cherry finish, lend to the classic design of your living room. Drawers create convenient, functional storage within the space.",3618-1*,bedroom,,"Bedroom Sets, Beds/Headboards",3618K-1CK*,549,California King bed,HB: 68H  FB: 16H,3618K-1EK*,549,Eastern King Bed,HB: 68H  FB: 16H,3618-1*,449,Queen Bed,HB: 68H  FB: 16H,3618-4,159,Night Stand,30 x 18 x 29H,3618-5,399,Dresser,68 x 19 x 40H,3618-6,92,Mirror,48 x 1 x 43H,3618-9,350,Chest,42 x 19 x 58H,,,,,,,,,,,,,,,,
Jazz Collection,"https://homelegance.com/u/20171106/4809CH_2015S-111_743_l1.jpg, https://homelegance.com/u/20171106/4809CH_Flat_1559_l1.jpg, https://homelegance.com/u/HMLG/20180614/1a022e66f3434938a87a2815dd72aa83.jpg, https://homelegance.com/u/HMLG/20180614/f38bc1daa56942269257d9a059d4cd26.jpg","It is hard to believe that a seating offering that is socomfortable and soft can be functional as well. Theclick mechanism Jazz Collection features square tuftingand ultra plush microfiber. The sofa, with a series ofclick motions reclines to provide an extra sleep spaceto your home. The ultimate addition to a recreation,dorm, apartment or bedroom, this seating group willprovide you, your family, and friends comfort whenyou need it most",4809CH,youth,,,4809CH,209,Elegant Lounger,Sofa: 70.5 x 36 x 35H Bed: 70.5 x 49 x 19.5H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callie Collection,"https://homelegance.com/u/20171106/4823BR_shot1_2015S-113_740_l1.jpg, https://homelegance.com/u/20171106/4823BR-2new_1428_l1.jpg, https://homelegance.com/u/HMLG/20180614/10e8d5d84abd4edda4611610ce6f72a0.jpg","Supported by column legs and featuring a streamlineddesign, the Callie Collection adjusts with an easy motion ofclick mechanism. Offered in Brown or Gray microfiber",4823BR,youth,,,4823BR,105,Elegant Lounger,Sofa: 70.5 x 33.5 x 30.5H Bed: 70.5 x 42.25 x 15.5H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callie Collection,"https://homelegance.com/u/20171106/4823GP_shot1new_741_l1.jpg, https://homelegance.com/u/20171106/4823GP_shot2new_1429_l1.jpg, https://homelegance.com/u/HMLG/20180614/80119c1590a040d6a1607bfab72d322f.jpg","Supported by column legs and featuring a streamlineddesign, the Callie Collection adjusts with an easy motion ofclick mechanism. Offered in Brown or Gray microfiber",4823GP,youth,,,4823GP,105,Elegant Lounger,Sofa: 70.5 x 33.5 x 30.5H Bed: 70.5 x 42.25 x 15.5H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelo Collection,"https://homelegance.com/u/20171106/4838-shot1_2015S-117_906_l1.jpg, https://homelegance.com/u/20171106/4838-shot2_2015S-117_1552_l1.jpg, https://homelegance.com/u/20171106/4838-shot3_2015S-117_1833_l1.jpg, https://homelegance.com/u/20171106/4838-shot4_2015S-117_1935_l1.jpg","The multi-functional Marcelo Collection will provide your home with the seating and sleep space you require. When the click mechanism sofa is adjusted to a fully reclined position, it is met with the pull-out trundle that extends this multi-functional sofa into a bed. Other features include cup holders and the black bi-cast vinyl with white contrast stitching cover.",4838*,youth,,,4838*,249,Elegant Lounger,Sofa: 82.5 x 32 x 34.75H Bed:  82.5 x 68 x 25.5H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adra Collection,"https://homelegance.com/u/HMLG/20180130/99989527d45c486887832b29d26386f4.jpg, https://homelegance.com/u/HMLG/20180130/ba4e45c5072f4a3398498fcefc341931.jpg, https://homelegance.com/u/HMLG/20180130/9c08fca9f18f40b5a6b6ce2d09b4ba86.jpg, https://homelegance.com/u/HMLG/20180130/187a078e76cd4207b80073e2746282bd.jpg, https://homelegance.com/u/HMLG/20180130/c5ad7ad8e5484a3caf771f2647d2dc55.jpg","Adra Collection blended with clean contemporary lines and dark brown vinyl covering, creates a look that will compliment your home’s decor. Whether used for sleeping or relaxing, the clean-line trundle design allows for placement in a number of room sizes and configurations, while the under-bed trundle pulls out to accommodate your additional sleep space needs. Also available in black vinyl.",4949DBR*,youth,,,4949BK*,139,Daybed with Trundle,Daybed: 82 x 41 x 36.5H Trundle: 75.5 x 40.25 x 11.75H,4949DBR*,139,Daybed with Trundle,Daybed: 82 x 41 x 36.5H Trundle: 75.5 x 40.25 x 11.75H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer Collection,"https://homelegance.com/u/20171106/4956PU_2nd_2014S-140_902_l1.jpg, https://homelegance.com/u/20171106/4956PU_1548_l1.jpg, https://homelegance.com/u/HMLG/20180614/22f7bc6ddbc94f0e897f6df59b8a8275.jpg, https://homelegance.com/u/HMLG/20180614/9e0337daa5f54b078bd26cb5ac11f4b2.jpg","The Meyer Collection is not only a stylish relaxation platform, it also functions as a comfortable bed. The twin size daybed features additional sleeping space in the form of a pull-out trundle.  Padded for comfort and covered in dark brown bi-cast vinyl, it is a perfect addition to your contemporary or transitional space.",4956PU*,youth,,,4956PU*,199,Daybed with Trundle,Daybed: 89.5 x 43 x 40.5H Trundle: 76.5 x 41 x 11.75H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Therese Collection,"https://homelegance.com/u/HMLG/20180130/c3f05449e618404bbebad32814c7d559.jpg, https://homelegance.com/u/HMLG/20180130/c35181a771304dce8861a3d4e7d2b274.jpg, https://homelegance.com/u/HMLG/20180614/145c5cd7019c4e69b79379ecf1e0cdc2.jpg, https://homelegance.com/u/HMLG/20180614/c480aaf464ca47baa6992c01b3613b03.jpg, https://homelegance.com/u/HMLG/20180130/1d87c04f7f484689ada52b8eaae449d0.jpg, https://homelegance.com/u/HMLG/20180614/770a0fd2b364493b81b1cd1e56a68fb6.jpg, https://homelegance.com/u/HMLG/20180130/c9017882614b439ba453fe0406fddb4c.jpg, https://homelegance.com/u/HMLG/20180614/bd3ae506f21240ebb50e972576ab2c6c.jpg, https://homelegance.com/u/HMLG/20180614/f6b9f1be50eb4e318b2b8d92806c4530.jpg, https://homelegance.com/u/HMLG/20180130/a42391ac6d824cb9ae93e93e38871387.jpg, https://homelegance.com/u/HMLG/20180130/7f620d7398ac4ade8cb5e5d632567225.jpg, https://homelegance.com/u/HMLG/20180614/85c9aa9a561b44c3a3514e5dc02f56ce.jpg, https://homelegance.com/u/HMLG/20180130/ebb50cdda7814f91b9f49d4b4d5d84f0.jpg","The fabric covering of the Therese Collection is offered in five colors – Blue, Orange, Chocolate, Gray, and Red – that blended with nailhead accent and clean lines, creates a look that compliment your home decor. Whether used for sleeping or relaxing, the clean-line daybed design allows for placement in a number of room sizes and configurations, while the under-bed trundle pulls out to accommodate your additional sleep space needs.",4969BU*,youth,,,4969BU*,155,"Daybed with Trundle, Blue",Daybed: 82 x 41 x 36.25H Trundle: 76 x 40 x 11.5H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
