number,description,dimensions,product_number
8312DG-1,Chair,36.75 x 33.75 x 33.75H,8312DG
8312DG-3,Sofa,72.75 x 33.75 x 33.75H,8312DG
8312DG-2,Love Seat,55.5 x 33.75 x 33.75H,8312DG
8313-3,Sofa,87.5 x 37.5 x 39.75H,8313
8313-2,Love Seat,63.5 x 37.5 x 39.75H,8313
8313-1,Accent Chair,33 x 33 x 45.5H,8313
8318-3PW*,POWER Double Reclining Sofa,109.5 x 36.75 x 39.5H,8318
8318-2CNPW*,POWER Double Reclining Love Seat with Center Console,92 x 36.75 x 39.5H,8318
8318-1PW,POWER Reclining Chair,41.25 x 36.75 x 39.5H,8318
8318-5L,Left Side Chaise,39.5 x 62 x 39.5H,8318 Sectional
8318-5R,Right Side Chaise,39.5 x 62 x 39.5H,8318 Sectional
8318-AC,Armless Chair,30.5 x 36.75 x 39.5H,8318 Sectional
8318-ARPW,POWER Armless Reclining Chair,30.5 x 36.75 x 39.5H,8318 Sectional
8318-CN,Console,13 x 36.75 x 39.5H,8318 Sectional
8318-CR,Corner Seat,64.5 x 40 x 39.5H,8318 Sectional
8318-LRPW,POWER Left Side Reclining Chair with USB port,39.5 x 36.75 x 39.5H,8318 Sectional
8318-RRPW,POWER Right Side Reclining Chair with USB port,39.5 x 36.75 x 39.5H,8318 Sectional
8323-3,Sofa,89.75 x 31 x 37.75H,8323
8323-2,Love Seat,65 x 31 x 37.75H,8323
8323-1,Chair,40.25 x 31 x 37.75H,8323
8324-3,Sofa,87 x 33.75 x 31H,8324
8324-2,Love Seat,61.5 x 33.75 x 31H,8324
8324-1,Chair,36.75 x 33.75 x 31H,8324
8324-4,Ottoman,36.25 x 36.25 x 18.25H,8324
8325BLK-3,Double Reclining Sofa,79 x 36.5 x 39.5H,8325BLK
8325BLK-2,Double Reclining Love Seat,59 x 36.5 x 39.5H,8325BLK
8325BLK-1,Reclining Chair,38.5 x 36.5 x 39.5H,8325BLK
8325BRW-3,Double Reclining Sofa,79 x 36.5 x 39.5H,8325BRW
8325BRW-2,Double Reclining Love Seat,59 x 36.5 x 39.5H,8325BRW
8325BRW-1,Reclining Chair,38.5 x 36.5 x 39.5H,8325BRW
8326BLK-3,Double Reclining Sofa,81.5 x 38.5 x 39H,8326BLK
8326BLK-2,Double Reclining Love Seat,61 x 38.5 x 39H,8326BLK
8326BLK-1,Reclining Chair,42 x 38.5 x 39H,8326BLK
8326BRW-3,Double Reclining Sofa,81.5 x 38.5 x 39H,8326BRW
8326BRW-2,Double Reclining Love Seat,61 x 38.5 x 39H,8326BRW
8326BRW-1,Reclining Chair,42 x 38.5 x 39H,8326BRW
8327BE-3,Sofa,85.5 x 33.75 x 35.5H,8327BE
8327BE-2,Love Seat,67.25 x 33.75 x 35.5H,8327BE
8327BE-1,Chair,40.25 x 33.75 x 35.5H,8327BE
8327GY-1S,Accent Chair,30 x 33.75 x 37H,8327BE
8327BE-CR,Corner Seat,34.75 ?34.75 ?37H,8327BE Sectional
8327BE-L,Left Side 2-Seater,61 ?36 ?37H,8327BE Sectional
8327BE-R,Right Side 2-Seater,61 ?36 ?37H,8327BE Sectional
8327BLK-3,Sofa,85.5 x 33.75 x 35.5H,8327BLK
8327BLK-2,Love Seat,67.25 x 33.75 x 35.5H,8327BLK
8327BLK-1,Chair,40.25 x 33.75 x 35.5H,8327BLK
8327BLK-R,Right Side 2-Seater,61.5 x 36.25 x 37H,8327BLK Sectional
8327BLK-CR,Corner Seat,34.75 x 34.75 x 37H,8327BLK Sectional
8327BLK-L,L Left Side 2-Seater,61.5 x 36.25 x 37H,8327BLK Sectional
8327DBR-3,Sofa,85.75 x 36 x 35.5H,8327DBR
8327DBR-2,Love Seat,67.25 x 36 x 35.5H,8327DBR
8327DBR-1,Chair,40.5 x 36 x 35.5H,8327DBR
8327DBR-CR,Corner Seat,34.75 x 34.75 x 37H,8327DBR Sectional
8327DBR-L,Left Side 2-Seater,61 x 36 x 37H,8327DBR Sectional
8327DBR-R,Right Side 2-Seater,61 x 36 x 37H,8327DBR Sectional
8327GY-3,Sofa,85.5 x 33.75 x 35.5H,8327GY
8327GY-2,Love Seat,67.25 x 33.75 x 35.5H,8327GY
8327GY-1,Chair,40.25 x 33.75 x 35.5H,8327GY
8327GY-1S,Accent Chair,30 x 33.75 x 37H,8327GY
8327GY-1S,Accent Chair,30 x 33.75 x 37H,8327GY-1S
8327GY-CR,Corner Seat,34.75 ?34.75 ?37H,8327GY Sectional
8327GY-L,Left Side 2-Seater,61 ?36 ?37H,8327GY Sectional
8327GY-R,Right Side 2-Seater,61 ?36 ?37H,8327GY Sectional
8327TL-3,Sofa,85.5 x 33.75 x 35.5H,8327TL
8327TL-2,Love Seat,67.25 x 33.75 x 35.5H,8327TL
8327TL-1,Chair,40.25 x 33.75 x 35.5H,8327TL
8327TL-1S,Accent Chair,30 x 33.75 x 37H,8327TL
8327TL-1S,Accent Chair,30 x 33.75 x 37H,8327TL-1S
8327TL-CR,Corner Seat,34.75 ?34.75 ?37H,8327TL Sectional
8327TL-L,Left Side 2-Seater,61 ?36 ?37H,8327TL Sectional
8327TL-R,Right Side 2-Seater,61 ?36 ?37H,8327TL Sectional
8328-3,Sofa,72 x 31.5 x 36.25H,8328
8328-2,Love Seat,50.75 x 31.5 x 36.25H,8328
8328-1,Chair,29.5 x 31.5 x 36.25H,8328
8329BLK-3,Double Reclining Sofa,82 x 39.5 x 39.5H,8329BLK
8329BLK-2,Double Reclining Love Seat,62 x 39.5 x 39.5H,8329BLK
8329BLK-1,Reclining Chair Chair,37.5 x 39.5 x 39.5H,8329BLK
8329BRW-3,Double Reclining Sofa,82 x 39.5 x 39.5H,8329BRW
8329BRW-2,Double Reclining Love Seat,62 x 39.5 x 39.5H,8329BRW
8329BRW-1,Reclining Chair Chair,37.5 x 39.5 x 39.5H,8329BRW
8329CH-3,Double Reclining Sofa,82 x 39.5 x 39.5H,8329CH
8329CH-2,Double Reclining Love Seat,62 x 39.5 x 39.5H,8329CH
8329CH-1,Reclining Chair,37.5 x 39.5 x 39.5H,8329CH
8334BLK-3,Double Reclining Sofa with Center Drop-Down Cup Holders,87.5 x 38.5 x 39H,8334BLK
8334BLK-2,Double Glider Reclining Love Seat with Center Console,78 x 38.5 x 39H,8334BLK
8334BLK-1,Swivel Glider Reclining Chair,42 x 38.5 x 39H,8334BLK
8334DBR-3,Double Reclining Sofa with Center Drop-Down Cup Holders,87.5 x 38.5 x 39H,8334DBR
8334DBR-2,Double Glider Reclining Love Seat with Center Console,78 x 38.5 x 39H,8334DBR
8334DBR-1,Swivel Glider Reclining Chair,42 x 38.5 x 39H,8334DBR
8335-AC,Armless Chair,26.5 x 35.25 x 37H,8335
8335-CR,Corner Seat,34.25 x 34.25 x 37H,8335
8335-LL,Left Side 2-Seater,61 x 35.25 x 37H,8335
8335-RL,Right Side 2-Seater,61 x 35.25 x 37H,8335
8335-4,Ottoman,38 x 38 x 19.25H,8335
8336-AC,Armless Chair,32 x 39 x 40H,8336 Sectional
8336-AR,Armless Reclining Chair,32 x 39 x 40H,8336 Sectional
8336-CN,Console,13.5 x 38 x 40H,8336 Sectional
8336-CR,Corner Seat,68 x 41 x 40H,8336 Sectional
8336-LC,"Left Side Chaise, Push Back Recliner",42 x 62.5 x 40H,8336 Sectional
8336-LR,Left Side Reclining Chair,42 x 39 x 40H,8336 Sectional
8336-RC,"Right Side Chaise, Push Back Recliner",42 x 62.5 x 40H,8336 Sectional
8336-RR,Right Side Reclining Chair,42 x 39 x 40H,8336 Sectional
8337FA-3,Sofa,89 x 37.25 x 34.25H,8337FA
8337FA-2,Love Seat,69.75 x 37.25 x 34.25H,8337FA
8337FA-1,Armless Chair,35.5 x 37.25 x 34.25H,8337FA
8337FA-4,Ottoman,46 x 23.5 x 19H,8337FA
8355-3PW,POWER Double Reclining Sofa,91 x 37 x 37.75H,8355
8355-2PW,POWER Double Reclining Love Seat,67.75 x 37 x 37.75H,8355
8355-1PW,POWER Reclining Chair,44.5 x 37 x 37.75H,8355
8367CH-3,"Reversible 3-Seater, Left/Right Unit",76.5 x 32.5 x 33.5H,8367CH
8367CH-5,"Reversible Chaise, Left/Right Unit",32.75 x 78 x 33.5H,8367CH
8367CH-4,Ottoman,37.5 x 26 x 18H,8367CH
8367TP-3,"Reversible 3-Seater, Left/Right Unit",76.5 x 32.5 x 33.5H,8367TP
8367TP-5,"Reversible Chaise, Left/Right Unit",32.75 x 78 x 33.5H,8367TP
8367TP-4,Ottoman,37.5 x 26 x 18H,8367TP
8369GY-2LPW,POWER Left Side Reclining Love Seat,69 x 38 x 38.5H,8369GY Sectional
8369GY-2RPW,POWER Right Side Reclining Love Seat,69 x 38 x 38.5H,8369GY Sectional
8369GY-ARPW,POWER Armless Reclining Chair,27.5 x 38 x 38.5H,8369GY Sectional
8369GY-CR,Corner Seat,63 x 39.75 x 38.5H,8369GY Sectional
8370BRW-3,Double Reclining Sofa,88 x 40.25 x 39H,8370BRW
8370BRW-2,Double Glider Reclining Love Seat with Center Console,76 x 40.25 x 39H,8370BRW
8370BRW-1,Glider Reclining Chair,40.5 x 40.25 x 39H,8370BRW
8378BLK-L,Left Side 3-Seater,76 x 33 x 34H,8378BLK
8378BLK-R,Right Side Chaise,80 x 33 x 34H,8378BLK
8378BLK-4,Ottoman,45 x 25 x 20H,8378BLK
8378BRW-L,Left Side 3-Seater,76 x 33 x 34H,8378BRW
8378BRW-R,Right Side Chaise,80 x 33 x 34H,8378BRW
8378BRW-4,Ottoman,45 x 25 x 20H,8378BRW
8378GRY-L,Left Side 3-Seater,76 x 33 x 34H,8378GRY
8378GRY-R,Right Side Chaise,80 x 33 x 34H,8378GRY
8378GRY-4,Ottoman,45 x 25 x 20H,8378GRY
8380-1,Chair,35 x 38 x 36.5H,8380
8380-3,Sofa,84.5 x 38 x 36.5H,8380
8380-2,Love Seat,61 x 38 x 36.5H,8380
8399-3PW,POWER Double Reclining Sofa,89 x 40.5 x 41.75H,8399
8399-3,Double Reclining Sofa,89 x 40.5 x 41.75H,8399
8399-2PW,POWER Double Reclining Love Seat,68 x 40.5 x 41.75H,8399
8399-2,Double Reclining Love Seat,68 x 40.5 x 41.75H,8399
8399-1PW,POWER Reclining Chair,45.25 x 40.5 x 41.75H,8399
8399-1,Glider Reclining Chair,45.25 x 40.5 x 41.75H,8399
8401-3SC,Reversible Sofa Chaise,80 x 58.5 x 36.5H,8401-3SC
8401GY-3SC,Reversible Sofa Chaise,80 x 58.5 x 36.5H,8401GY-3SC
8403-3,Double Reclining Sofa with Center Drop-Down Cup Holders,81 x 38 x 38.5H,8403
8403-2,Double Reclining Love Seat,61 x 38 x 38.5H,8403
8403-1,Reclining Chair,39.5 x 38 x 38.5H,8403
8404DB-1,Reclining Chair,29.75 x 38 x 41H,8404DB-1
8404TP-1,Reclining Chair,29.75 x 38 x 41H,8404TP-1
8405BJ-3SL,Sofa with Sleeper,Sofa: 90 x 36.5 x 36.25HSleeper Mattress: 60 x 71.75 x 4.75H,8405BJ
8405BJ-3,Sofa,90 x 36.5 x 36.25H,8405BJ
8405BJ-2,Love Seat,68 x 36.5 x 36.25H,8405BJ
8405BJ-1,Chair,45 x 36.5 x 36.25H,8405BJ
8405BJ-4,Ottoman,30.75 x 23.5 x 20H,8405BJ
8411-2L,Left Side Reclining Love Seat,53 x 38.5 x 39H,8411
8411-2LCN,Left Side Reclining Love Seat with Center Console,66 x 38.5 x 39H,8411
8411-2R,Right Side Reclining Love Seat,53 x 38.5 x 39H,8411
8411-2RCN,Right Side Reclining Love Seat with Center Console,66 x 38.5 x 39H,8411
8411-CR,Corner Seat,59 x 40 x 39H,8411
8412-3,Sofa,84 x 36.5 x 45H,8412
8412-2,Love Seat,64 x 36.5 x 45H,8412
8412-1,Accent Chair,31.5 x 31 x 47.5H,8412
8413GY-3,Sofa,84 x 35.75 x 35.75H,8413GY
8413GY-2,Love Seat,61.5 x 35.75 x 35.75H,8413GY
8413GY-1,Chair,38.5 x 35.75 x 35.75H,8413GY
8413TL-3,Sofa,84 x 35.75 x 35.75H,8413TL
8413TL-2,Love Seat,61.5 x 35.75 x 35.75H,8413TL
8413TL-1,Chair,38.5 x 35.75 x 35.75H,8413TL
8413YW-3,Sofa,84 x 35.75 x 35.75H,8413YW
8413YW-2,Love Seat,61.5 x 35.75 x 35.75H,8413YW
8413YW-1,Chair,38.5 x 35.75 x 35.75H,8413YW
8414DBR-3,Triple Reclining Sofa,91 x 42 x 39H,8414DBR
8414DBR-2,Double Glider Reclining Love Seat with Center Console,79.5 x 42 x 39H,8414DBR
8414DBR-1,Glider Reclining Chair,44.5 x 42 x 39H,8414DBR
8427-3,Sofa,98.5 x 39.75 x 32H,8427
8427-2,Love Seat,74.75 x 39.75 x 32H,8427
8427-1,Chair,51.25 x 39.75 x 32H,8427
8427GY-3,Sofa,98.5 x 39.75 x 32H,8427GY
8427GY-2,Love Seat,74.75 x 39.75 x 32H,8427GY
8427GY-1,Chair,51.25 x 39.75 x 32H,8427GY
8437-1LT,POWER Lift Chair,35 x 36.75 x 41.25H,8437-1LT
8437DBR-1LT,POWER Lift Chair,35 x 36.75 x 41.25H,8437DBR-1LT
8444BLK-3PW,"POWER Double Reclining Sofa with Drop-Down Cup Holders, Reading  Lights, Receptacles and Magazine Bag",83.5 x 40 x 41.25 - 45.25H,8444BLK
8444BLK-2PW,POWER Double Reclining Love Seat,60 x 40 x 41.25 - 45.25H,8444BLK
8444BLK-1PW,POWER Reclining Chair,37.75 x 40 x 41.25H - 45.25H,8444BLK
8469-3,Sofa,91.25 x 36 x 34.75H,8469
8469-2,Love Seat,69.25 x 36 x 34.75H,8469
8469-1,Chair,50.5 x 36 x 35.75H,8469
8469-5,Chaise,30 x 67.75 x 38.25H,8469
8477-3,Sofa,95 x 40.25 x 38.5H,8477
8477-2,Love Seat,69 x 40.25 x 38.5H,8477
8477-1,Chair,55.25 x 40.25 x 38.5H,8477
8477-4,Ottoman,37 x 28 x 20H,8477
8477DB-3,Sofa,95 x 40.25 x 38.5H,8477DB
8477DB-2,Love Seat,69 x 40.25 x 38.5H,8477DB
8477DB-1,Chair,55.25 x 40.25 x 38.5H,8477DB
8477NF-3,Sofa,95 x 40.25 x 38.5H,8477NF
8477NF-2,Love Seat,69 x 40.25 x 38.5H,8477NF
8477NF-1,Chair,55.25 x 40.25 x 38.5H,8477NF
8477-4,Ottoman,37 x 28 x 20H,8477NF
8478-3,Sofa,85.5 x 38.25 x 36.5H,8478
8478-2,Love Seat,65.5 x 38.25 x 36.5H,8478
8478-1,Chair,41.5 x 38.25 x 36.5H,8478
8480BRW-3PW,POWER Double Reclining Sofa,88 x 40 x 39H,8480BRW
8480BRW-3,Double Reclining Sofa,88 x 40 x 39H,8480BRW
8480BRW-2PW,POWER Double Reclining Love Seat,65 x 40 x 39H,8480BRW
8480BRW-2,Double Reclining Love Seat,65 x 40 x 39H,8480BRW
8480BRW-1PW,POWER Reclining Chair,42 x 40 x 39H,8480BRW
8480BRW-1,Glider Reclining Chair,42 x 40 x 39H,8480BRW
8480BRW-2LCNPD,POWER Left Side Reclining Love Seat with Center Console and LED,69 x 40.5 x 39H,8480BRW-PW Sectional
8480BRW-2RPD,POWER Right Side Reclining Love Seat with LED,59.5 x 40.5 x 39H,8480BRW-PW Sectional
8480BRW-ARPD,POWER Armless Reclining Chair with LED,22 x 40.5 x 39H,8480BRW-PW Sectional
8480BRW-CR,Corner Seat,68.5 x 43 x 39H,8480BRW-PW Sectional
8480BRW-2LCN,Left Side Reclining Love Seat with Center Console,69 x 40.5 x 39H,8480BRW Sectional
8480BRW-2R,Right Side Reclining Love Seat,59.5 x 40.5 x 39H,8480BRW Sectional
8480BRW-AR,Armless Reclining Chair,22 x 40.5 x 39H,8480BRW Sectional
8480BRW-CR,Corner Seat,68.5 x 43 x 39H,8480BRW Sectional
8480GRY-3PW,POWER Double Reclining Sofa,88 x 40 x 39H,8480GRY
8480GRY-3,Double Reclining Sofa,88 x 40 x 39H,8480GRY
8480GRY-2PW,POWER Double Reclining Love Seat,65 x 40 x 39H,8480GRY
8480GRY-2,Double Reclining Love Seat,65 x 40 x 39H,8480GRY
8480GRY-1PW,POWER Reclining Chair,42 x 40 x 39H,8480GRY
8480GRY-1,Glider Reclining Chair,42 x 40 x 39H,8480GRY
8480GRY-2LCNPD,POWER Left Side Reclining Love Seat with Center Console and LED,69 x 40.5 x 39H,8480GRY-PW Sectional
8480GRY-2RPD,POWER Right Side Reclining Love Seat with LED,59.5 x 40.5 x 39H,8480GRY-PW Sectional
8480GRY-ARPD,POWER Armless Reclining Chair with LED,22 x 40.5 x 39H,8480GRY-PW Sectional
8480GRY-CR,Corner Seat,68.5 x 43 x 39H,8480GRY-PW Sectional
8480GRY-2LCN,Left Side Reclining Love Seat with Center Console,69 x 40.5 x 39H,8480GRY Sectional
8480GRY-2R,Right Side Reclining Love Seat,59.5 x 40.5 x 39H,8480GRY Sectional
8480GRY-AR,Armless Reclining Chair,22 x 40.5 x 39H,8480GRY Sectional
8480GRY-CR,Corner Seat,68.5 x 43 x 39H,8480GRY Sectional
8480RED-3PW,POWER Double Reclining Sofa,88 x 40 x 39H,8480RED
8480RED-3,Double Reclining Sofa,88 x 40 x 39H,8480RED
8480RED-2PW,Double Reclining Love Seat,65 x 40 x 39H,8480RED
8480RED-2,Double Reclining Love Seat,65 x 40 x 39H,8480RED
8480RED-1PW,POWER Reclining Chair,42 x 40 x 39H,8480RED
8480RED-1,Glider Reclining Chair,42 x 40 x 39H,8480RED
8480RED-2LCNPD,POWER Left Side Reclining Love Seat with Center Console and LED,69 x 40.5 x 39H,8480RED-PW Sectional
8480RED-2RPD,POWER Right Side Reclining Love Seat with LED,59.5 x 40.5 x 39H,8480RED-PW Sectional
8480RED-ARPD,POWER Armless Reclining Chair with LED,22 x 40.5 x 39H,8480RED-PW Sectional
8480RED-CR,Corner Seat,68.5 x 43 x 39H,8480RED-PW Sectional
8480RED-2LCN,Left Side Reclining Love Seat with Center Console,69 x 40.5 x 39H,8480RED Sectional
8480RED-2R,Right Side Reclining Love Seat,59.5 x 40.5 x 39H,8480RED Sectional
8480RED-AR,Armless Reclining Chair,22 x 40.5 x 39H,8480RED Sectional
8480RED-CR,Corner Seat,68.5 x 43 x 39H,8480RED Sectional
8490FBR-AC,Armless Chair,31 x  39 x 40H,8490FBR
8490FBR-AR,Armless Reclining Chair,31 x  39 x 40H,8490FBR
8490FBR-CN,Console,13 x  39 x 40H,8490FBR
8490FBR-CR,Corner Seat,65 x 40 x 40H,8490FBR
8490FBR-LC,"Left Side Chaise, Push Back Recliner",39 x 65 x 40H,8490FBR
8490FBR-LR,Left Side Reclining Chair,39 x 39 x 40H,8490FBR
8490FBR-RC,"Right Side Chaise, Push Back Recliner",39 x 65 x 40H,8490FBR
8490FBR-RR,Right Side Reclining Chair,39 x 39 x 40H,8490FBR
8490-AC,Armless Chair,31 x 39 x 40H,8490 Sectional
8490-AR,Armless Reclining Chair,31 x 39 x 40H,8490 Sectional
8490-CN,Console,13 x 39 x 40H,8490 Sectional
8490-CR,Corner Seat,65 x 40 x 40H,8490 Sectional
8490-LC,"Left Side Chaise, Push Back Recliner",39 x 65 x 40H,8490 Sectional
8490-LR,Left Side Reclining Chair,39 x 39 x 40H,8490 Sectional
8490-RC,"Right Side Chaise, Push Back Recliner",39 x 65 x 40H,8490 Sectional
8490-RR,Right Side Reclining Chair,39 x 39 x 40H,8490 Sectional
8500BLK-3,Double Reclining Sofa,84 x 37 x 40H,8500BLK
8500BLK-2,Double Reclining Love Seat,63 x 37 x 40H,8500BLK
8500BLK-1,Reclining Chair,40 x 37 x 40H,8500BLK
8507BE-3,Sofa,74.5 x 38 x 30.25H,8507BE
8507BE-1,Chair,38 x 38 x 30.25H,8507BE
8509-1LT,POWER Lift Chair,31 x 35.5 x 41H,8509-1LT
8511BK-3,Sofa,86 x 36 x 39H,8511BK
8511BK-2,Love Seat,64 x 36 x 39H,8511BK
8511BK-1,Chair,45 x 36 x 39H,8511BK
8511TP-3,Sofa,86 x 36 x 39H,8511TP
8511TP-2,Love Seat,64 x 36 x 39H,8511TP
8511TP-1,Chair,45 x 36 x 39H,8511TP
8518-3,Sofa,78 x 33 x 32.5H,8518
8518-2,Love Seat,56 x 33 x 32.5H,8518
8518-1,Chair,33 x 33 x 32.5H,8518
8524BK-3,Double Reclining Sofa,86 x 36.5 x 40.5 - 46.5H,8524BK
8524BK-2,Double Glider Reclining Love Seat with Center Console,77 x 36.5 x 40.5 - 46.5H,8524BK
8524BK-1,Glider Reclining Chair,39 x 36.5 x 40.5 - 46.5H,8524BK
8524RD-3,Double Reclining Sofa,86 x 36.5 x 40.5 - 46.5H,8524RD
8524RD-2,Double Glider Reclining Love Seat with Center Console,77 x 36.5 x 40.5 - 46.5H,8524RD
8524RD-1,Glider Reclining Chair,39 x 36.5 x 40.5 - 46.5H,8524RD
8545-1LT,POWER Lift Chair,30.75 x 37.5 x 41H,8545-1LT
8548BLK-1,Swivel Reclining Chair with Ottoman,Chair: 32 x 35.5 x 43H,8548BLK-1
8548BRW-1,Swivel Reclining Chair with Ottoman,Chair: 32 x 35.5 x 43H,8548BRW-1
8555BLK-1,Swivel Reclining Chair with Ottoman,Chair: 25 x 28.5 x 45H,8555BLK-1
8555WHT-1,Swivel Reclining Chair with Ottoman,Chair: 25 x 28.5 x 45H,8555WHT-1
8579DB-3,Sofa,85.75 x 35 x 36.25H,8579DB
8579DB-2,Love Seat,63 x 35 x 36.25H,8579DB
8579DB-1,Chair,40.25 x 35 x 36.25H,8579DB
9600-2L,Left Side Double Reclining Love Seat with Console,70 x 37 x 39H,9600 Sectional
9600-CR,Corner Seat,63 x 40.5 x 39H,9600 Sectional
9600-AC,Armless Chair,23 x 37 x 39H,9600 Sectional
9600-2R,Right Side Reclining Love Seat,57 x 37 x 39H,9600 Sectional
9603BLK-3,Sofa,86 x 40 x 30 - 38H,9603BLK
9603BLK-2,Love Seat,70 x 40 x 30 - 38H,9603BLK
9603BLK-1,Chair,48 x 40 x 30 - 38H,9603BLK
9603WHT-3,Sofa,86 x 40 x 30 - 38H,9603WHT
9603WHT-2,Love Seat,70 x 40 x 30 - 38H,9603WHT
9603WHT-1,Chair,48 x 40 x 30 - 38H,9603WHT
9616BRW-3,Sofa,86 x 37 x 38H,9616BRW
9616BRW-2,Love Seat,63 x 37 x 38H,9616BRW
9616BRW-1,Chair,42 x 37 x 38H,9616BRW
9616CN-3,Sofa,86 x 37 x 38H,9616CN
9616CN-2,Love Seat,63 x 37 x 38H,9616CN
9616CN-1,Chair,42 x 37 x 38H,9616CN
9619DB-3,Sofa,90 x 36 x 37H,9619DB
9619DB-2,Love Seat,70 x 36 x 37H,9619DB
9619DB-1,Chair,47 x 36 x 37H,9619DB
9636-3,Double Reclining Sofa,90 x 40 x 40H,9636
9636-2,Double Glider Reclining Love Seat with Center Console,79 x 40 x 40H,9636
9636-1,Glider Reclining Chair,43 x 40 x 40H,9636
9636CC-3,Double Reclining Sofa,90 x 40 x 40H,9636CC
9636CC-2,Double Glider Reclining Love Seat with Center Console,79 x 40 x 40H,9636CC
9636CC-1,Glider Reclining Chair,43 x 40 x 40H,9636CC
9639-3,Sofa,79 x 33 x 35H,9639
9639-2,Love Seat,57 x 33 x 35H,9639
9639-1,Chair,36 x 33 x 35H,9639
9668BLK-3PW,POWER Double Reclining Sofa,90 x 38.5 x 40H,9668BLK
9668BLK-3,Double Reclining Sofa,90 x 38.5 x 40H,9668BLK
9668BLK-2PW,POWER Double Reclining Love Seat with Center Console,83 x 38.5 x 40H,9668BLK
9668BLK-2,Double Glider Reclining Love Seat with Center Console,83 x 38.5 x 40H,9668BLK
9668BLK-1PW,POWER Reclining Chair,42 x 38.5 x 40H,9668BLK
9668BLK-1,Glider Reclining Chair,42 x 38.5 x 40H,9668BLK
9668BRW-1PW,POWER Reclining Chair,42 x 38.5 x 40H,9668BRW
9668BRW-1,Glider Reclining Chair,42 x 38.5 x 40H,9668BRW
9668BRW-2,Double Glider Reclining Love Seat with Center Console,83 x 38.5 x 40H,9668BRW
9668BRW-3PW,POWER Double Reclining Sofa,90 x 38.5 x 40H,9668BRW
9668BRW-3,Double Reclining Sofa,90 x 38.5 x 40H,9668BRW
9668BRW-2PW,POWER Double Reclining Love Seat with Center Console,83 x 38.5 x 40H,9668BRW
9668NDB-3,Double Reclining Sofa,90 x 38.5 x 40H,9668NDB
9668NDB-2,Double Glider Reclining Love Seat with Center Console,83 x 38.5 x 40H,9668NDB
9668NDB-1,Glider Reclining Chair,42 x 38.5 x 40H,9668NDB
9668NSD-3,Double Reclining Sofa,90 x 38.5 x 40H,9668NSD
9668NSD-2,Double Glider Reclining Love Seat with Center Console,83 x 38.5 x 40H,9668NSD
9668NSD-1,Glider Reclining Chair,42 x 38.5 x 40H,9668NSD
9669FCP-AC,Armless Chair,22 x 37 x 39H,9669FCP
9669FCP-CN,Console,13 x 37 x 39H,9669FCP
9669FCP-CR,Corner Seat,62 x 37 x 39H,9669FCP
9669FCP-LL,Left Side Reclining Love Seat with Console,67 x 37 x 39H,9669FCP
9669FCP-RC,Right Side Reclining Chaise,32 x 59 x 39H,9669FCP
9700BLK-3PW,POWER Double Reclining Sofa,83 x 37.5 x 38.5H,9700BLK
9700BLK-3,Double Reclining Sofa,83 x 37.5 x 38.5H,9700BLK
9700BLK-2PW,POWER Double Reclining Love Seat,62 x 37.5 x 38.5H,9700BLK
9700BLK-2,Double Reclining Love Seat,62 x 37.5 x 38.5H,9700BLK
9700BLK-1PW,POWER Reclining Chair,38 x 37.5 x 38.5H,9700BLK
9700BLK-1,Reclining Chair,38 x 37.5 x 38.5H,9700BLK
9700BRW-3PW,POWER Double Reclining Sofa,83 x 37.5 x 38.5H,9700BRW
9700BRW-3,Double Reclining Sofa,83 x 37.5 x 38.5H,9700BRW
9700BRW-2PW,POWER Double Reclining Love Seat,62 x 37.5 x 38.5H,9700BRW
9700BRW-2,Double Reclining Love Seat,62 x 37.5 x 38.5H,9700BRW
9700BRW-1PW,POWER Reclining Chair,38 x 37.5 x 38.5H,9700BRW
9700BRW-1,Reclining Chair,38 x 37.5 x 38.5H,9700BRW
9700FCP-3PW,POWER Double Reclining Sofa,83 x 37.5 x 38.5H,9700FCP
9700FCP-3,Double Reclining Sofa,83 x 37.5 x 38.5H,9700FCP
9700FCP-2PW,POWER Double Reclining Love Seat,62 x 37.5 x 38.5H,9700FCP
9700FCP-2,Double Reclining Love Seat,62 x 37.5 x 38.5H,9700FCP
9700FCP-1PW,POWER Reclining Chair,38 x 37.5 x 38.5H,9700FCP
9700FCP-1,Reclining Chair,38 x 37.5 x 38.5H,9700FCP
9701BLK-3,Sofa,82 x 32 x 34.5H,9701BLK
9701BLK-2,Love Seat,60 x 32 x 34.5H,9701BLK
9701BLK-1,Chair,37 x 32 x 34.5H,9701BLK
9715PU-3,Sofa,79.5 x 33 x 38H,9715PU
9715PU-2,Love Seat,60 x 33 x 38H,9715PU
9715PU-1,Chair,38 x 33 x 38H,9715PU
9723-3,Double Reclining Sofa,86.5 x 41 x 39H,9723
9723-2,Double Reclining Love Seat,70.5 x 41 x 39H,9723
9723-1,Glider Reclining Chair,46.5 x 41 x 39H,9723
9724BLK-3,Double Reclining Sofa with Center Drop-Down Cup Holders,88 x 38.5 x 39.5H,9724BLK
9724BLK-2,Double Glider Reclining Love Seat with Center Console,77 x 38.5 x 39.5H,9724BLK
9724BLK-1,Glider Reclining Chair,40.5 x 38.5 x 39.5H,9724BLK
9724BRW-3,Double Reclining Sofa with Center Drop-Down Cup Holders,88 x 38.5 x 39.5H,9724BRW
