number,description,dimensions,product_number
1281BUE-2,"Settee Love Seat, Blue Fabric",46.5 X 29.25 X 32.75H,1281BUE
1281TEL-2,"Settee Love Seat, Teal Fabric",46.5 X 29.25 X 32.75H,1281TEL
1282GY-1,Accent Chair,28 x 29 x 38H,1282GY-1
1292-1,Accent Chair,36 x 32 x 29.5H,1292-1
1294GY-1,Accent Chair,32.5 X 31 X 33H,1294GY-1
1296F1S,Accent Chair with Kidney Pillow， Charcoal,30.5 x  34 x 49H,1296F1S
1296F2S,"Accent Chair with Kidney Pillow, Teal",30.5 x  34 x 49H,1296F2S
1297BU-1,Accent Chair,29.25 x 30.5 x 36H,1297BU-1
17049-3,Sofa,98 x 36.5 x 43H,17049
17049-2,Love Seat,69 x 36.5 x 42.5H,17049
17049-1,Chair,46 x 36.5 x 40.25H,17049
19359-3,Sofa,97.5 x 41 x 41H,19359
19359-2,Love Seat,81.75 x 41 x 41H,19359
19359-1,Chair,55.5 x 41 x 41H,19359
468F25S,Armless Lounge Chair,22.75 x 29.5 x 32.5H,468F25S
4791PU,Elegant Lounger,Sofa: 71 x 35 x 31H Bed: 71 x 43 x 15H,4791PU
4802MFR,Elegant Lounger,Sofa: 83.5 x 32 x 34.5H Bed: 83.5 x 50.5 x 26H,4802MFR
4803BLK,Elegant Lounger,Sofa: 82.5 x 32 x 32H,4803BLK
4809CH,Elegant Lounger,Sofa: 70.5 x 36 x 35H Bed: 70.5 x 49 x 19.5H,4809CH
4823BR,Elegant Lounger,Sofa: 70.5 x 33.5 x 30.5H Bed: 70.5 x 42.25 x 15.5H,4823BR
4823GP,Elegant Lounger,Sofa: 70.5 x 33.5 x 30.5H Bed: 70.5 x 42.25 x 15.5H,4823GP
4829DB*,Elegant Lounger,Sofa: 82.5 x 32 x 34.75H Bed:  82.5 x 43 x 24H,4829DB*
4829LN*,Elegant Lounger,Sofa: 82.5 x 32 x 34.75H Bed:  82.5 x 43 x 24H,4829LN*
4838*,Elegant Lounger,Sofa: 82.5 x 32 x 34.75H Bed:  82.5 x 68 x 25.5H,4838*
8200BRW-3PW,POWER Double Reclining Sofa,88 x 39 x 39.5H,8200BRW
8200BRW-3,Double Reclining Sofa,88 x 39 x 39.5H,8200BRW
8200BRW-2PW,POWER Double Reclining Love Seat with Center Console,76.75 x 39 x 39.5H,8200BRW
8200BRW-2,Double Reclining Love Seat with Center Console,76.75 x 39 x 39.5H,8200BRW
8200BRW-1PW,POWER Reclining Chair,42 x 39 x 39.5H,8200BRW
8200BRW-1,Glider Reclining Chair,42 x 39 x 39.5H,8200BRW
8201BLK-3,Double Reclining Sofa with Center Drop-Down Cup holders,81.5 x 39 x 39H,8201BLK
8201BLK-2,Double Glider Reclining Love Seat with Center Console,72.5 x 39 x 39H,8201BLK
8201BLK-1,Glider Reclining Chair,35.5 x 39 x 39H,8201BLK
8201BRW-3,Double Reclining Sofa with Center Drop-Down Cup holders,81.5 x 39 x 39H,8201BRW
8201BRW-2,Double Glider Reclining Love Seat with Center Console,72.5 x 39 x 39H,8201BRW
8201BRW-1,Glider Reclining Chair,35.5 x 39 x 39H,8201BRW
8202CH-3,Sofa,72 x 32 x 35H,8202CH
8202CH-2,Love Seat,56.75 x 32 x 35H,8202CH
8202CH*SC,Reversible Sectional,84 x 107 x 35H,8202CH-SC
8202GRY-3,Sofa,72 x 32 x 35H,8202GRY
8202GRY-2,Love Seat,56.75 x 32 x 35H,8202GRY
8202GRY*SC,Reversible Sectional,84 x 107 x 35H,8202GRY-SC
8203GY-3,Sofa,79.5 x 33 x 34H,8203GY
8203GY-2,Love Seat,57.5 x 33 x 34H,8203GY
8203GY-1,Chair,35.5 x 33 x 34H,8203GY
8203RD-3,Sofa,79.5 x 33 x 34H,8203RD
8203RD-2,Love Seat,57.5 x 33 x 34H,8203RD
8203RD-1,Chair,35.5 x 33 x 34H,8203RD
8204-3,Sofa,86.5 x 38.25 x 37.5H,8204
8204-2,Love Seat,63 x 38.25 x 37.5H,8204
8204-1,Chair,39.5 x 38.25 x 37.5H,8204
8205BR-1,Reclining Chair,32.5 x 36 x 40H,8205BR-1
8205CH-1,Reclining Chair,32.5 x 36 x 40H,8205CH-1
8206BRW-3,"Double Reclining Sofa with Center Drop-Down Cup holders, Receptacles and Hidden Drawer",86.5 x 40.25 x 40.25H,8206BRW
8206BRW-2,Double Glider Reclining Love Seat with Center Console and Receptacles,76 x 40.25 x 40.25H,8206BRW
8206BRW-1,Glider Reclining Chair,45 x 40.25 x 40.25H,8206BRW
8206NF-3,"Double Reclining Sofa with Center Drop-Down Cup holders, Receptacles and Hidden Drawer",86.5 x 40.25 x 40.25H,8206NF
8206NF-2,Double Glider Reclining Love Seat with Center Console and Receptacles,76 x 40.25 x 40.25H,8206NF
8206NF-1,Glider Reclining Chair,45 x 40.25 x 40.25H,8206NF
8207-3,Sofa,88.5 x 36.25 x 35.75H,8207
8207-2,Love Seat,61.75 x 36.25 x 35.75H,8207
8207-1,Chair,35 x 36.25 x 35.75H,8207
8208-3SC,Reversible Sofa Chaise,82 x 58.5 x 36.5H,8208-3SC
8209BR-3SC,Reversible Sofa Chaise,82 x 58.5 x 36.5H,8209BR-3SC
8210GRY-3,Double Reclining Sofa,86 x 39.25 x 40.5H,8210GRY
