number,description,dimensions,product_number
1715-50,Backer's Rack,58 x 18 x 73H,1715-94*
1715-55,Buffet / Server,58 x 18 x 41.25H,1715-94*
1718GY-90,Dining Table,42 X 72 - 90 X 30H,1718GY-90*
1718GYS,Side Chair,20 X 25 X 39.25H,1718GY-90*
1718GY-40,Curio,54 X 18 X 54H,1718GY-90*
17811*,"Dining Table, All Glass",42 x 42 x 29H,17811*
17813*,"Dining Table, All Glass",42 x 72 x 29H,17811*
3276S-CR,Side Chair,19 x 25 x 38H,17811*
1808-112*,Double Pedestal Dining Table,44 x 84 - 98 - 112 x 30.5H,1808-112*
1808A,Arm Chair,26.5 x 23 x 43.5H,1808-112*
1808S,Side Chair,21 x 23 x 43.5H,1808-112*
1808-50,Buffet &amp; Hutch,66.75 x 20.5 x 91.5H,1808-112*
1808-40,Server with Faux Marble Top,59.5 x 20 x 40H,1808-112*
1824-112,Dining Table,44 x 84 - 98 - 112 x 30H,1824-112*
1824A,Arm Chair,28.75 x 25 x 43.25H,1824-112*
1824S,Side Chair,20.5 x 25 x 43.25H,1824-112*
1824-40,Server,58 x 18 x 34.75,1824-112*
1824-50,Buffet &amp; Hutch,66 x 19 x 90.5H,1824-112*
1828-92,Dining Table,44 x 76 - 92 x 30H,1828-92
1828A,"Arm Chair, Faux Silk",24 x 26.25 x 42H,1828-92
1828S,"Side Chair, Faux Silk",22 x 26.25 x 42H,1828-92
1828-50*,Buffet &amp; Hutch,48 x 18 x 83H,1828-92
1828-40,Server,62 x 19 x 40H,1828-92
1828-6,Wall Mirror,44 x 2 x 38H,1828-92
1867-102*,Dining Table,44 x 84 - 102 x 30H,1867-102*
1867A,"Arm Chair, Faux Silk",24.25 x 25 x 42.5H,1867-102*
1867S,"Side Chair, Faux Silk",23.25 x 25 x 42.5H,1867-102*
1867-50*,Buffet &amp; Hutch,48 x 18 x 82.5H,1867-102*
1867-40,Server,66 x 20 x 37H,1867-102*
1915-60,Dining Table,35.5 x 60 x 30H,1915-60
1915S,Side Chair,18.5 x 22.75 x 33H,1915-60
1915-40,Server,47.5 x 17.75 x 35.5H,1915-60
1916-84,"Dining Table, Glass Insert",42 X 66-84 X 30.25H,1916-84*
1916S,Side Chair,19.5 X 25 X 39H,1916-84*
1916-07,"Bar, LED Lighting",54 X 19.5 X 41.5H,1916-84*
1916-50,"Curio, LED Lighting",36 X 19.5 X 79.5H,1916-84*
1928-78,Dining Table,38 x 60-78 x 30H,1928-78*
1928S,Side Chair,18.5 x 24 x 39H,1928-78*
1928-40,Server,58 x 18 x 34.75H,1928-78*
1935-110*,Double Pedestal Dining Table,44 x 78 - 94 - 110 x 30H,1935-110*
1935A,Arm Chair,26 x 26 x 43H,1935-110*
1935S,Side Chair,22 x 26 x 43H,1935-110*
1935-50*,Buffet &amp; Hutch,71.75 x 21 x 93H,1935-110*
1935-76*,Round / Oval Pedestal Dining Table,60 x 60 - 76 x 30H,1935-76*
1935A,Arm Chair,26 x 26 x 43H,1935-76*
1935S,Side Chair,22 x 26 x 43H,1935-76*
1935-55,Buffet / Server,71.25 x 21 x 42H,1935-76*
1947-96,Dining Table,42 x 75 - 95 x 30H,1947-96
